company,domain,found_at,round,amount,amount_usd,verdict,description
Cerca Magnetics Ltd,cercamagnetics.com,2026-04-24,Series A,€4.3 million,5040000,B2B,Brain-scanner (OPM-MEG) medtech
Cloudsmith Ltd,cloudsmith.com,2026-04-23,Series C,$72M,72000000,B2B,Software artifact / package management (DevOps)
Exergy3 Limited,exergy3.com,2026-04-22,Seed,£10 million,13500000,B2B,Thermal energy storage cleantech
gizmo.ai,gizmo.ai,2026-04-16,Series A,$22 million,22000000,CUT-B2C,Consumer study app for students
STORM Therapeutics Ltd,stormtherapeutics.com,2026-04-16,Series C,$56 million,56000000,BIOTECH,RNA therapeutics biotech
Roundtreasury,roundtreasury.com,2026-04-14,Seed,$6 million,6000000,B2B,Finance automation for finance teams (=Round)
Archangel Lightworks Ltd.,archangel.works,2026-04-13,Series A,$13.5m,13500000,B2B,Optical satellite communications
Frame AI,frameai.tech,2026-04-13,Series A,$6.3 million,6300000,B2B,AI systems for enterprises
Round Finance Limited,round.finance,2026-04-13,Seed,6 million US dollars,6000000,DUPLICATE,Same company/round as roundtreasury.com
Base58 Labs Ltd.,base58labs.com,2026-04-10,Pre Series A,$35 million,35000000,B2B,HFT infrastructure for institutions
Northernlightmicroscopy,northernlightmicroscopy.com,2026-04-09,Pre Seed,£1 million,1350000,B2B,Scientific microscopy instruments
Fieldwork Robotics Ltd.,fieldworkrobotics.com,2026-04-08,Seed Plus,£2.5m,3310000,B2B,Agricultural harvesting robotics
Fermtech,fermtech.co.uk,2026-04-08,Seed,£2.5 million,3300000,B2B,Cocoa-replacement ingredient for food makers
Natter,trynatter.com,2026-04-07,Series A,$23M,23000000,B2B,Insights / research conversation platform
Omniscient incorporated,omniscient-ai.io,2026-04-02,Pre Seed,$4.1 million,4100000,B2B,Enterprise intelligence / decision platform
9fin Limited,9fin.com,2026-03-31,Series C,$170 million,170000000,B2B,Debt capital markets analytics & data
Lucida Medical Ltd,lucidamedical.com,2026-03-31,Series A,£8.7 million,11600000,B2B,AI cancer diagnostics
Tropic Biosciences UK Ltd,tropic.bio,2026-03-31,Series C,US$105 million,105000000,B2B,Agri-biotech gene editing (sells to ag industry)
Riplo Limited,riplo.ai,2026-03-31,Pre Seed,£2.3M,3050000,B2B,Agentic operating system for consulting firms
Theia Insights Inc.,theiainsights.com,2026-03-26,Series A,$8 million,8000000,B2B,AI financial data & analytics
Giraffe360 Limited,giraffe360.com,2026-03-26,Series B,$10 million,10000000,B2B,Real-estate imaging robotics / SaaS
Immutrin Ltd,immutrin.com,2026-03-25,Series A,£65 million,87200000,BIOTECH,Immunology therapeutics biotech
Vuelo Group,getvuelo.com,2026-03-25,Seed,£56m,74400000,CUT-B2C,Consumer travel booking + BNPL
Eunice Ltd.,eunice.ai,2026-03-25,Pre Seed,$8 million,8000000,B2B,AI compliance for institutional due diligence
Origin Benefits Ltd,originbenefits.com,2026-03-25,Series A Plus,$30 million,30000000,B2B,Employee-benefits platform (HR tech)
